"Column","Field Name","Label/Description"
"343","GAP_3YR_RWMX","Gap between Percentage of achieving level 4 or above in reading, writing TA and maths for disadvantaged pupils and others - 3 year average"
"344","GAP_3YR_PRREAD","Gap between Percentage of making expected progress in reading for disadvantaged pupils and others - 3 year average"
"345","GAP_3YR_PRWRIT","Gap between Percentage of making expected progress in writing for disadvantaged pupils and others - 3 year average"
"346","GAP_3YR_PRMAT","Gap between Percentage of making expected progress in maths for disadvantaged pupils and others - 3year average"
"347","GAPN_3YR_RWMX_FSM6CLA1A","Gap between school and national Percentage of achieving level 4 or above in reading, writing TA and maths for disadvantaged pupils - 3 year average"
"348","GAPN_3YR_PRREAD_FSM6CLA1A","Gap between school and national Percentage of making expected progress in reading for disadvantaged pupils - 3 year average"
"349","GAPN_3YR_PRWRIT_FSM6CLA1A","Gap between school and national Percentage of making expected progress in writing for disadvantaged pupils - 2 year average"
"350","GAPN_3YR_PRMAT_FSM6CLA1A","Gap between school and national Percentage of making expected progress in maths for disadvantaged pupils - 3 year average"
"351","GAPN_3YR_RWMX_NOTFSM6CLA1A","Gap between school and national Percentage of achieving level 4 or above in reading, writing TA and maths for other pupils - 3 year average"
"352","GAPN_3YR_PRREAD_NOTFSM6CLA1A","Gap between school and national Percentage of making expected progress in reading for other pupils - 3 year average"
"353","GAPN_3YR_PRWRIT_NOTFSM6CLA1A","Gap between school and national Percentage of making expected progress in writing for other pupils - 3 year average"
"354","GAPN_3YR_PRMAT_NOTFSM6CLA1A","Gap between school and national Percentage of making expected progress in maths for other pupils - 3 year average"
