URN,LA,ESTAB,LAESTAB,SCHNAME,STREET,LOCALITY,ADDRESS3,TOWN,POSTCODE,TELNUM,ICLOSE,OPENDATE,CLOSEDATE,ISNEW,MINORGROUP,NFTYPE,ISPRIMARY,ISSECONDARY,ISPOST16,AGEL,AGEH,GENDER,SFGENDER,RELDENOM,ADMPOL,NEWACFLAG,SPONSORNAME
138204,801,4037,8014037,Bedminster Down School,Donald Road,Bedminster Down,,Bristol,BS13 7DQ,0117 3532800,1,,,1,Academy (including Free Schools),Academy - Converter Mainstream,0,1,0,11,16,Mixed,Mixed,Does not apply,Comprehensive,6,
138217,801,4031,8014031,Henbury School,Station Road,Henbury,,Bristol,BS10 7QH,0117 9030100,1,,,1,Academy (including Free Schools),Academy - Converter Mainstream,0,1,0,11,16,Mixed,Mixed,Does not apply,Comprehensive,6,
138278,801,2038,8012038,Oasis Academy Connaught,Melvin Square,Knowle West,,Bristol,BS4 1NH,01275 894590,1,,,1,Academy (including Free Schools),Academy Sponsor Led,1,0,0,3,11,Mixed,Mixed,Does not apply,Not applicable,6,Oasis Community Learning
138317,801,3003,8013003,Christ Church Church of England Primary School,Royal Park,Clifton,,Bristol,BS8 3AW,0117 3772830,1,,,1,Academy (including Free Schools),Academy - Converter Mainstream,1,0,0,4,11,Mixed,Mixed,Church of England,Not applicable,6,
138377,801,2055,8012055,The Dolphin School,Cheltenham Road,,,Bristol,BS6 5RD,0117 9424328,1,,,1,Academy (including Free Schools),Academy Sponsor Led,1,0,0,3,11,Mixed,Mixed,,Not applicable,6,The Society of Merchant Venturers
138409,801,2056,8012056,Oasis Academy Bank Leaze,Corbet Close,Lawrence Weston,,Bristol,BS11 0SN,01275 894580,1,,,1,Academy (including Free Schools),Academy Sponsor Led,1,0,0,3,11,Mixed,Mixed,,Not applicable,6,Oasis Community Learning
138448,801,4003,8014003,Orchard School Bristol,Filton Road,Horfield,,Bristol,BS7 0XZ,0117 3772000,1,,,1,Academy (including Free Schools),Academy Sponsor Led,0,1,0,11,16,Mixed,Mixed,,Comprehensive,6,Trust in Learning (Academies)
138465,801,3411,8013411,St Patrick's Catholic Primary School,Blackswarth Road,Redfield,,Bristol,BS5 8AS,0117 3772387,1,,,1,Academy (including Free Schools),Academy - Converter Mainstream,1,0,0,4,11,Mixed,Mixed,Roman Catholic,Not applicable,6,
138531,801,2091,8012091,Westbury Park Primary School,Bayswater Avenue,Westbury Park,,Bristol,BS6 7NU,0117 3772676,1,,,1,Academy (including Free Schools),Academy - Converter Mainstream,1,0,0,4,11,Mixed,Mixed,Does not apply,Not applicable,6,
138546,801,2321,8012321,Hareclive Academy,Moxham Drive,Hartcliffe,,Bristol,BS13 0HP,0117 9030425,1,,,1,Academy (including Free Schools),Academy - Converter Mainstream,1,0,0,4,11,Mixed,Mixed,Does not apply,Not applicable,6,Brunel Primary Academy Trust
138655,801,2013,8012013,Begbrook Primary Academy,Begbrook Drive,Stapleton,,Bristol,BS16 1HG,0117 9030386,1,,,1,Academy (including Free Schools),Academy - Converter Mainstream,1,0,0,3,11,Mixed,Mixed,Does not apply,Not applicable,6,Cabot Learning Federation
138658,801,2080,8012080,Summerhill Academy,Plummers Hill,St George,,Bristol,BS5 7JU,0117 9030347,1,,,1,Academy (including Free Schools),Academy - Converter Mainstream,1,0,0,7,11,Mixed,Mixed,Does not apply,Not applicable,6,Cabot Learning Federation
138668,801,2034,8012034,Filton Avenue Primary School,Lockleaze Road,Horfield,,Bristol,BS7 9RP,0117 9030302,1,01/09/2015,,1,Academy (including Free Schools),Academy - Converter Mainstream,1,0,0,5,11,Mixed,Mixed,Does not apply,Not applicable,1,Trust in Learning (Academies)
138708,801,2022,8012022,Colston's Primary School,18 Cotham Grove,,,Bristol,BS6 6AL,0117 3772610,1,,,1,Academy (including Free Schools),Academy - Converter Mainstream,1,0,0,4,11,Mixed,Mixed,Does not apply,Not applicable,6,
138709,801,3431,8013431,Greenfield E-Act Primary Academy,Novers Lane,Knowle West,,Bristol,BS4 1QW,0117 3772191,1,,,1,Academy (including Free Schools),Academy - Converter Mainstream,1,0,0,3,11,Mixed,Mixed,Does not apply,Not applicable,6,E-ACT
138710,801,3434,8013434,Oasis Academy New Oak,Walsh Avenue,Hengrove,,Bristol,BS14 9SN,01275 894570,1,,,1,Academy (including Free Schools),Academy - Converter Mainstream,1,0,0,4,11,Mixed,Mixed,Does not apply,Not applicable,6,Oasis Community Learning
138789,801,2062,8012062,Minerva Primary Academy,The Greenway,Hillfields Park,Fishponds,Bristol,BS16 4HA,0117 3772990,1,,,1,Academy (including Free Schools),Academy Sponsor Led,1,0,0,3,11,Mixed,Mixed,Does not apply,Not applicable,6,Cabot Learning Federation
138791,801,2064,8012064,Frome Vale Academy,Frenchay Road,Downend,,Bristol,BS16 2QS,0117 3532902,1,,,1,Academy (including Free Schools),Academy Sponsor Led,1,0,0,4,11,Mixed,Mixed,Does not apply,Not applicable,6,Cabot Learning Federation
138794,801,2067,8012067,Fishponds Church of England Academy,Fishponds Road,Fishponds,,Bristol,BS16 3UH,0117 9030491,1,,,1,Academy (including Free Schools),Academy Sponsor Led,1,0,0,3,11,Mixed,Mixed,Church of England,Not applicable,6,Diocese of Bristol Academies Trust (DBAT)
138855,801,4627,8014627,Redland Green School,Redland Court Road,Redland,,Bristol,BS6 7EH,0117 3533200,1,,,1,Academy (including Free Schools),Academy - Converter Mainstream,0,1,1,11,18,Mixed,Mixed,Does not apply,Comprehensive,6,
138900,801,3432,8013432,Little Mead Primary Academy,Gosforth Road,,Southmead,Bristol,BS10 6DS,0117 3773279,1,,,1,Academy (including Free Schools),Academy - Converter Mainstream,1,0,0,3,11,Mixed,Mixed,Does not apply,Not applicable,6,Little Mead Primary Academy Trust
138904,801,2061,8012061,Parson Street Primary School,Bedminster Road,Bedminster,,Bristol,BS3 5NR,0117 9030226,1,,,1,Academy (including Free Schools),Academy - Converter Mainstream,1,0,0,3,11,Mixed,Mixed,Does not apply,Not applicable,6,
139032,801,3408,8013408,St Nicholas of Tolentine Catholic Primary School,Pennywell Road,,,Bristol,BS5 0TJ,0117 3772260,1,,,1,Academy (including Free Schools),Academy - Converter Mainstream,1,0,0,4,11,Mixed,Mixed,Roman Catholic,Not applicable,6,
139033,801,3414,8013414,St Teresa's Catholic Primary School,Luckington Road,Monks Park,,Bristol,BS7 0UP,0117 9030412,1,,,1,Academy (including Free Schools),Academy - Converter Mainstream,1,0,0,4,11,Mixed,Mixed,Roman Catholic,Not applicable,6,
139049,801,4005,8014005,Bridge Learning Campus,William Jessop Way,,Hartcliffe,Bristol,BS13 0RL,0117 3534472,1,,,1,Academy (including Free Schools),Academy Sponsor Led,1,1,0,3,16,Mixed,Mixed,,Comprehensive,6,Trust in Learning (Academies)
139050,801,2077,8012077,Bannerman Road Community Academy,All Hallows Road,Easton,,Bristol,BS5 0HR,0117 3772080,1,,,1,Academy (including Free Schools),Academy Sponsor Led,1,0,0,3,11,Mixed,Mixed,Does not apply,Not applicable,6,The Society of Merchant Venturers
139116,801,2078,8012078,Henbury Court Primary Academy,Trevelyan Walk,Henbury,,Bristol,BS10 7NY,0117 3772196,1,,,1,Academy (including Free Schools),Academy Sponsor Led,1,0,0,3,11,Mixed,Mixed,Does not apply,Not applicable,6,Little Mead Primary Academy Trust
139247,801,2082,8012082,The Kingfisher School,Lichfield Road,St Anne's Park,,Bristol,BS4 4BJ,0117 3773185,1,,,1,Academy (including Free Schools),Academy Sponsor Led,1,0,0,3,11,Mixed,Mixed,Does not apply,Not applicable,6,The Society of Merchant Venturers
139505,801,3025,8013025,Stoke Bishop Church of England Primary School,Cedar Park,Stoke Bishop,,Bristol,BS9 1BW,0117 3772173,1,,,1,Academy (including Free Schools),Academy - Converter Mainstream,1,0,0,4,11,Mixed,Mixed,Church of England,Not applicable,6,
139828,801,2087,8012087,Cathedral Primary School,College Square,,,Bristol,BS1 5TS,0117 3535003,1,,,1,Academy (including Free Schools),Free School - Mainstream,1,0,0,4,11,Mixed,Mixed,,Not applicable,6,
140267,801,2089,8012089,Redfield Educate Together Primary Academy,Avonvale Road,Redfield,,Bristol,BS5 9RH,0117 3790777,1,,,1,Academy (including Free Schools),Academy Sponsor Led,1,0,0,4,11,Mixed,Mixed,,Not applicable,6,Educate Together Academy Trust
140268,801,2092,8012092,Oasis Academy Marksbury Road,Marksbury Road,,,Bedminster,BS3 5JL,0117 3126500,1,01/09/2015,,1,Academy (including Free Schools),Academy Sponsor Led,1,0,0,4,11,Mixed,Mixed,,Not applicable,3,Oasis Community Learning
140269,801,2093,8012093,Fairlawn Primary School,Fairlawn Road,Montpelier,,,BS6 5JL,0117 9424328,1,01/09/2015,,1,Academy (including Free Schools),Academy Sponsor Led,1,0,0,4,11,Mixed,Mixed,,Not applicable,3,The Society of Merchant Venturers
140409,801,2094,8012094,Oasis Academy Long Cross,Long Cross,Lawrence Weston,,Bristol,BS11 0LP,0117 9030333,1,,,1,Academy (including Free Schools),Academy Sponsor Led,1,0,0,3,11,Mixed,Mixed,,Not applicable,6,Oasis Community Learning
140728,801,2044,8012044,Hotwells Primary School,Hope Chapel Hill,,,Bristol,BS8 4ND,0117 9030044,1,,,1,Academy (including Free Schools),Academy - Converter Mainstream,1,0,0,3,11,Mixed,Mixed,Does not apply,Not applicable,6,
141108,801,4006,8014006,Steiner Academy Bristol,Oldbury Court Road,Fishponds,,Bristol,BS16 2JP,0117 9659150,1,,,1,Academy (including Free Schools),Free School - Mainstream,1,1,0,4,16,Mixed,Mixed,Does not apply,Comprehensive,6,
141110,801,2101,8012101,Easton Church of England Academy,Beaufort Street,Easton,,Bristol,BS5 0SQ,0117 3773070,1,,,1,Academy (including Free Schools),Academy Sponsor Led,1,0,0,3,11,Mixed,Mixed,Church of England,Not applicable,6,Diocese of Bristol Academies Trust (DBAT)
141112,801,2105,8012105,Perry Court Primary School,Great Hayles Road,,,Hengrove,BS14 0AX,0117 3772078,1,,,1,Maintained School,Community School,1,0,0,3,11,Mixed,Mixed,Does not apply,Not collected,6,
141191,801,2106,8012106,Barton Hill Primary,Queen Ann Road,Barton Hill,,Bristol,BS5 9TX,0117 9030407,1,,,1,Academy (including Free Schools),Academy Sponsor Led,1,0,0,3,11,Mixed,Mixed,Does not apply,Not applicable,6,Brunel Primary Academy Trust
141351,801,2107,8012107,Wicklea Academy,Wick Road,Brislington,,Bristol,BS4 4HU,,1,01/03/2015,,1,Academy (including Free Schools),Academy Sponsor Led,1,0,0,7,11,Mixed,Mixed,Does not apply,Not applicable,3,Waycroft Academy
141652,801,4007,8014007,Oasis Academy Brislington,Hungerford Road,Brislington,,Bristol,BS4 5EY,0117 3772055,1,01/02/2015,,1,Academy (including Free Schools),Academy Sponsor Led,0,1,1,11,18,Mixed,Mixed,Does not apply,Comprehensive,3,Oasis Community Learning
141705,801,4101,8014101,Fairfield High School,Allfoxton Road,Horfield,,Bristol,BS7 9NL,0117 9527100,1,01/02/2015,,1,Academy (including Free Schools),Academy - Converter Mainstream,0,1,0,11,16,Mixed,Mixed,Does not apply,Comprehensive,1,Excalibur Academies Trust
141706,801,2324,8012324,Four Acres Academy,Four Acres,Withywood,,Bristol,BS13 8RB,0117 9030474,1,01/02/2015,,1,Academy (including Free Schools),Academy - Converter Mainstream,1,0,0,3,11,Mixed,Mixed,Does not apply,Not collected,1,
142032,801,2108,8012108,Woodlands Academy,Whittock Road,Stockwood,,Bristol,BS14 8DQ,0117 3533506,1,01/10/2015,,1,Academy (including Free Schools),Academy Sponsor Led,1,0,0,3,11,Mixed,Mixed,Does not apply,Not applicable,3,Waycroft Academy
142297,801,2033,8012033,Filton Avenue Junior School,Lockleaze Road,Horfield,,Bristol,BS7 9RP,0117 9030305,2,01/09/2015,01/09/2015,0,Academy (including Free Schools),Academy - Converter Mainstream,1,0,0,7,11,Mixed,Mixed,Does not apply,Not applicable,1,
